Latitude,Longitude,School Code
37.5776939,-122.329156,4136370
37.5782327,-122.3319905,4169047
37.486738,-122.2101751,112722
37.4735575,-122.2042644,119503
37.4631717,-122.1318787,126722
37.5058435,-122.2892473,4130993
37.460767,-122.1751142,4133716
37.4953497,-122.2442955,4135687
37.4848468,-122.2370459,4136693
37.4444994,-122.2316996,4138053
37.482106,-122.2366776,4169062
37.6531903,-122.4184108,127563
37.6504257,-122.4360852,4130324
37.6660151,-122.4421972,4132551
37.6478152,-122.4261976,4137279
37.6531903,-122.4184108,4169070
37.6567422,-122.4447542,6045041
37.6510271,-122.4273866,6045082
37.6633376,-122.4098334,6045090
37.6363988,-122.4515989,6045108
37.6460545,-122.4329245,6045116
37.6515456,-122.465477,6045132
37.6590246,-122.4162215,6045140
37.665172,-122.4364371,6045157
37.6610382,-122.4498347,6059976
37.6623218,-122.4265515,6059984
37.6443542,-122.4610613,6067128
37.660826,-122.4694048,6068282
37.4239357,-122.2767313,6045165
